Order_ID,Date,Customer,Age,City,Department,Product,Category,Quantity,Unit_Price,Discount,Total_Sales,Payment_Method,Status,Rating
ORD063,2026-01-04,Abdullah Khan,44,Rawalpindi,IT,Monitor,Electronics,1,35000,0.1,31500.0,EasyPaisa,Completed,4
ORD064,2026-05-14,Maryam Shah,35,Hyderabad,Marketing,Headphones,Electronics,4,8000,0.05,30400.0,EasyPaisa,Pending,4
ORD065,2026-01-23,Zainab Iqbal,46,Lahore,Finance,Mouse,Accessories,3,2500,0.05,7125.0,EasyPaisa,Completed,1
ORD066,2026-05-05,Fatima Khan,40,Islamabad,HR,Smartwatch,Electronics,3,18000,0.05,51300.0,Bank Transfer,Cancelled,3
ORD067,2026-01-22,Hassan Rauf,44,Rawalpindi,Marketing,Laptop,Electronics,5,120000,0.05,570000.0,Card,Pending,4
ORD068,2026-03-17,Hassan Rauf,43,Faisalabad,Sales,Smartwatch,Electronics,1,18000,0.0,18000.0,Bank Transfer,Cancelled,3
ORD069,2026-04-19,Arham Ali,53,Islamabad,HR,Smartwatch,Electronics,5,18000,0.1,81000.0,EasyPaisa,Completed,3
ORD070,2026-02-19,Maham Ali,25,Faisalabad,Marketing,Mouse,Accessories,2,2500,0.0,5000.0,Card,Completed,2
ORD071,2026-01-26,Mehwish Noor,30,Islamabad,Sales,Smartwatch,Electronics,3,18000,0.1,48600.0,Bank Transfer,Completed,3
ORD072,2026-03-12,Ahmed Raza,21,Hyderabad,HR,Laptop,Electronics,5,120000,0.05,570000.0,Card,Pending,1
ORD073,2026-05-01,Saad Malik,46,Islamabad,Sales,Laptop,Electronics,5,120000,0.1,540000.0,Cash,Completed,4
ORD074,2026-05-06,Sara Ahmed,54,Faisalabad,Operations,Phone,Accessories,1,65000,0.15,55250.0,Cash,Completed,2
ORD075,2026-01-31,Talha Khan,44,Hyderabad,Marketing,Mouse,Accessories,1,2500,0.05,2375.0,Card,Cancelled,4
ORD076,2026-05-31,Owais Raza,37,Hyderabad,Marketing,Smartwatch,Electronics,4,18000,0.1,64800.0,Cash,Cancelled,1
ORD077,2026-06-19,Sara Ahmed,28,Lahore,Sales,Keyboard,Accessories,2,4500,0.1,8100.0,Cash,Completed,1
ORD078,2026-03-16,Ahmed Raza,32,Islamabad,Operations,Tablet,Electronics,4,55000,0.15,187000.0,Bank Transfer,Pending,1
ORD079,2026-04-19,Ayesha Noor,52,Lahore,Operations,Keyboard,Accessories,3,4500,0.05,12825.0,Card,Completed,2
ORD080,2026-03-20,Fahad Rauf,54,Islamabad,Finance,Phone,Accessories,1,65000,0.05,61750.0,Cash,Pending,3
ORD081,2026-04-23,Sara Ahmed,20,Rawalpindi,Operations,Tablet,Electronics,3,55000,0.15,140250.0,Bank Transfer,Cancelled,3
ORD082,2026-06-22,Mehwish Noor,54,Hyderabad,IT,Laptop,Electronics,1,120000,0.05,114000.0,Bank Transfer,Cancelled,1
ORD083,2026-03-13,Usman Ali,55,Rawalpindi,Operations,Headphones,Electronics,4,8000,0.15,27200.0,EasyPaisa,Completed,4
ORD084,2026-03-24,Huzaifa Khan,24,Lahore,HR,Monitor,Electronics,4,35000,0.1,126000.0,EasyPaisa,Pending,3
ORD085,2026-04-27,Sara Ahmed,38,Islamabad,HR,Tablet,Electronics,5,55000,0.0,275000.0,Cash,Pending,5
ORD086,2026-04-16,Ahmed Raza,30,Hyderabad,HR,Laptop,Electronics,5,120000,0.15,510000.0,EasyPaisa,Pending,1
ORD087,2026-03-15,Laiba Noor,49,Karachi,IT,Keyboard,Accessories,3,4500,0.05,12825.0,Card,Completed,3
ORD088,2026-01-24,Hassan Rauf,25,Rawalpindi,IT,Laptop,Electronics,5,120000,0.15,510000.0,Card,Pending,3
ORD089,2026-05-01,Hassan Rauf,47,Hyderabad,Sales,Mouse,Accessories,4,2500,0.15,8500.0,EasyPaisa,Completed,5
ORD090,2026-04-17,Maham Ali,50,Islamabad,IT,Headphones,Electronics,1,8000,0.1,7200.0,Bank Transfer,Completed,5
ORD091,2026-05-18,Saad Malik,40,Islamabad,Marketing,Smartwatch,Electronics,2,18000,0.15,30600.0,EasyPaisa,Pending,3
ORD092,2026-03-01,Abdullah Khan,44,Karachi,HR,Keyboard,Accessories,2,4500,0.15,7650.0,EasyPaisa,Pending,4
ORD093,2026-02-02,Anum Ahmed,55,Islamabad,IT,Headphones,Electronics,4,8000,0.0,32000.0,EasyPaisa,Completed,5
ORD094,2026-04-15,Abdullah Khan,27,Karachi,Finance,Smartwatch,Electronics,1,18000,0.05,17100.0,Bank Transfer,Completed,5
ORD095,2026-06-22,Abdullah Khan,52,Rawalpindi,HR,Tablet,Electronics,1,55000,0.1,49500.0,EasyPaisa,Cancelled,1
ORD096,2026-02-28,Arham Ali,23,Rawalpindi,IT,Phone,Accessories,2,65000,0.1,117000.0,Cash,Pending,2
ORD097,2026-03-25,Rayyan Ahmed,21,Islamabad,HR,Mouse,Accessories,1,2500,0.0,2500.0,Bank Transfer,Pending,2
ORD098,2026-05-25,Huzaifa Khan,29,Lahore,Sales,Keyboard,Accessories,5,4500,0.15,19125.0,Cash,Cancelled,4
ORD099,2026-03-01,Laiba Noor,34,Rawalpindi,HR,Keyboard,Accessories,4,4500,0.05,17100.0,Cash,Pending,3
ORD100,2026-03-30,Iqra Ali,37,Faisalabad,Finance,Headphones,Electronics,1,8000,0.15,6800.0,Bank Transfer,Pending,3
